Date;Open;High;Low;Close;Volume
2017.07.17  08:00:00;147.457;147.519;147.072;147.168;29284
2017.07.17  12:00:00;147.173;147.194;146.745;147.018;30631
2017.07.17  16:00:00;147.011;147.486;146.769;147.194;36871
2017.07.17  20:00:00;147.195;147.229;146.896;147.021;14899
2017.07.18  00:00:00;146.954;147.114;146.706;146.760;15811
2017.07.18  04:00:00;146.759;147.050;146.597;146.713;34565
2017.07.18  08:00:00;146.713;147.314;146.169;146.262;40097
2017.07.18  12:00:00;146.267;146.411;145.509;145.565;44525
2017.07.18  16:00:00;145.567;146.263;145.384;146.159;43970
2017.07.18  20:00:00;146.161;146.277;146.041;146.081;16272
2017.07.19  00:00:00;146.124;146.159;145.835;145.933;15527
2017.07.19  04:00:00;145.932;146.095;145.898;145.984;23636
2017.07.19  08:00:00;145.983;146.314;145.848;145.928;32447
2017.07.19  12:00:00;145.929;146.218;145.376;145.433;33722
2017.07.19  16:00:00;145.434;145.735;145.245;145.587;38389
2017.07.19  20:00:00;145.588;145.679;145.475;145.671;16350
2017.07.20  00:00:00;145.688;145.788;145.580;145.642;11742
2017.07.20  04:00:00;145.642;146.029;145.551;145.888;28357
2017.07.20  08:00:00;145.891;146.259;145.633;146.014;39652
2017.07.20  12:00:00;146.013;146.023;145.142;145.550;48254
2017.07.20  16:00:00;145.549;145.592;144.682;144.979;53553
2017.07.20  20:00:00;144.983;145.335;144.875;145.114;19719
2017.07.21  00:00:00;145.114;145.144;144.974;145.129;15007
2017.07.21  04:00:00;145.132;145.302;145.013;145.162;26112
2017.07.21  08:00:00;145.167;145.314;144.993;145.183;34916
2017.07.21  12:00:00;145.181;145.298;144.631;144.667;37592
2017.07.21  16:00:00;144.666;144.820;144.043;144.156;37783
2017.07.21  20:00:00;144.156;144.476;144.144;144.339;20609
2017.07.24  00:00:00;144.251;144.491;144.022;144.250;13366
2017.07.24  04:00:00;144.250;144.522;144.104;144.513;27313
2017.07.24  08:00:00;144.515;144.650;144.013;144.205;38888
2017.07.24  12:00:00;144.205;144.513;144.204;144.353;33428
2017.07.24  16:00:00;144.353;145.000;144.288;144.839;35684
2017.07.24  20:00:00;144.839;144.949;144.689;144.743;18711
2017.07.25  00:00:00;144.723;144.975;144.683;144.816;13662
2017.07.25  04:00:00;144.819;144.927;144.564;144.585;27391
2017.07.25  08:00:00;144.585;145.022;144.451;144.958;36326
2017.07.25  12:00:00;144.958;145.873;144.915;145.821;36829
2017.07.25  16:00:00;145.820;145.850;145.421;145.534;43247
2017.07.25  20:00:00;145.533;145.878;145.423;145.819;21460
2017.07.26  00:00:00;145.819;146.007;145.685;145.718;13562
2017.07.26  04:00:00;145.720;145.933;145.604;145.635;26681
2017.07.26  08:00:00;145.636;145.820;145.481;145.601;34500
2017.07.26  12:00:00;145.599;145.963;145.537;145.793;36631
2017.07.26  16:00:00;145.794;146.398;145.750;146.305;40360
2017.07.26  20:00:00;146.305;146.379;145.608;145.717;41799
2017.07.27  00:00:00;145.717;145.838;145.436;145.555;18984
2017.07.27  04:00:00;145.555;145.957;145.456;145.883;39134
